  
  AUSGABEDATEI FUER DIE WERTEPAARE DES PROFILS 20.96000000000000 !!
  -----------------------------------------------------------------------------------
    WSP in mNN      TIEFE in m        A in qm         Q in m3/s         ALPHA [-]        DEL A             DEL Q            DEL ALPHA  
    8.8550       1.1050           7.1870        5.5000     1.022090     0.1767485D-02     0.5278289D-01    -0.1966064D-01
    8.8830       1.1330           7.4570        5.7500     1.027890     0.1085053D-02     0.4938331D-01    -0.1913781D-01
    8.9100       1.1600           7.7390        6.0000     1.033990    -0.5483427D-02     0.3686534D-01    -0.1642539D-01
    8.9370       1.1870           8.0300        6.2500     1.040300    -0.3697104D-02     0.2566544D-01    -0.1136215D-01
    8.9630       1.2130           8.3280        6.5000     1.046730    -0.1494717D-02     0.9024049D-02    -0.4635467D-02
    8.9880       1.2380           8.6280        6.7500     1.053020     0.5817940D-02    -0.1091905D-01     0.3466516D-02
    9.0120       1.2620           8.9420        7.0000     1.060710     0.5681969D-02    -0.3209318D-01     0.1084453D-01
    9.0350       1.2850           9.2690        7.2500     1.067980    -0.1703748D-02    -0.5263524D-01     0.1877659D-01
    9.0580       1.3080           9.6130        7.5000     1.077330    -0.6171080D-02    -0.6013548D-01     0.2493432D-01
    9.0800       1.3300           9.9700        7.7500     1.086840     0.3922287D+01    -0.6282192D-01     0.3008219D-01
    9.1010       1.3510          10.3410        8.0000     1.096760    -0.6137556D+01    -0.5965621D-01     0.3353209D-01
    9.1210       1.3710          10.7230        8.2500     1.106890    -0.3809396D+01    -0.5010222D-01     0.3512645D-01
    9.1410       1.3910          11.1140        8.5000     1.117070     0.1842359D+01    -0.1957016D-01     0.3522647D-01
    9.1590       1.4090          11.9940        8.7500     1.158470     0.4811827D+01     0.3444627D-02     0.1438353D-02
    9.1710       1.4210          12.3490        9.0000     1.168690     0.5105902D+01    -0.5248773D-01    -0.4766709D-02
    9.1870       1.4370          12.8350        9.2500     1.181500     0.2868911D+01    -0.2721979D-01    -0.1378056D-01
    9.2020       1.4520          13.3140        9.5000     1.192710    -0.1287996D+01    -0.4898318D-03    -0.2329133D-01
    9.2160       1.4660          13.7820        9.7500     1.202080    -0.5574922D+01     0.2554384D-01    -0.3293194D-01
    9.2310       1.4810          14.2410       10.0000     1.210140    -0.8231150D+01     0.9190204D-01    -0.4352643D-01
    9.2450       1.4950          14.6940       10.2500     1.217100    -0.6111612D+01     0.1579078D+00    -0.5518990D-01
    9.2580       1.5080          15.1380       10.5000     1.224030     0.2852292D+01     0.2205863D+00    -0.6872207D-01
    9.2720       1.5220          15.5770       10.7500     1.229650     0.2392361D+02     0.3294733D+00    -0.8409168D-01
    9.2850       1.5350          84.4030       11.0000     1.030210    -0.1034089D+02     0.4346382D+00     0.1036254D+00
    9.2820       1.5320          83.8830       11.2500     1.030420    -0.1926939D+02     0.1007341D+00     0.1063603D+00
    9.2820       1.5320          83.8860       11.5000     1.030420    -0.1927239D+02    -0.1492659D+00     0.1063603D+00
    9.2850       1.5350          84.4410       11.7500     1.030200    -0.1037889D+02    -0.3153618D+00     0.1036354D+00
    9.2850       1.5350          84.3930       12.0000     1.030210    -0.1033089D+02    -0.5653618D+00     0.1036254D+00
    8.5270       0.7770           4.7050       12.2500     1.001690     0.1227197D+06    -0.9201201D+01    -0.3115761D-02
    9.2870       1.5370          84.7360       12.5000     1.030070    -0.3833671D+01    -0.1008763D+01     0.1017198D+00
