30.08.95 16.00  0.8016
30.08.95 16.30  0.8328
30.08.95 17.00  0.8921
30.08.95 17.30  0.853
30.08.95 18.00  0.8144
30.08.95 18.30  0.7984
30.08.95 19.00  0.9941
30.08.95 19.30  0.9259
30.08.95 20.00  0.8569
30.08.95 20.30  0.8322
30.08.95 21.00  0.8133
30.08.95 21.30  0.8818
30.08.95 22.00  0.8428
30.08.95 22.30  0.8044
30.08.95 23.00  0.7757
30.08.95 23.30  0.769
31.08.95 00.00  0.7625
31.08.95 00.30  0.7575
31.08.95 01.00  0.7565
31.08.95 01.30  0.7555
31.08.95 02.00  0.7546
31.08.95 02.30  0.7536
31.08.95 03.00  0.7526
31.08.95 03.30  0.7516
31.08.95 04.00  0.7507
31.08.95 04.30  0.7497
31.08.95 05.00  0.7487
31.08.95 05.30  0.8144
31.08.95 06.00  0.9769
31.08.95 06.30  1.1346
31.08.95 07.00  1.0982
31.08.95 07.30  1.4441
31.08.95 08.00  1.3626
31.08.95 08.30  1.4931
31.08.95 09.00  1.3789
31.08.95 09.30  1.2824
31.08.95 10.00  1.213
31.08.95 10.30  1.523
31.08.95 11.00  1.4897
31.08.95 11.30  1.4517
31.08.95 12.00  1.3646
31.08.95 12.30  1.2421
31.08.95 13.00  1.2091
31.08.95 13.30  1.1972
31.08.95 14.00  1.1853
31.08.95 14.30  1.1734
31.08.95 15.00  1.1616
31.08.95 15.30  1.1287
31.08.95 16.00  1.0957
31.08.95 16.30  1.0627
31.08.95 17.00  1.0297
31.08.95 17.30  0.9982
31.08.95 18.00  1.1112
31.08.95 18.30  1.2633
31.08.95 19.00  1.2403
31.08.95 19.30  1.1644
31.08.95 20.00  1.1401
31.08.95 20.30  1.1922
31.08.95 21.00  1.2147
31.08.95 21.30  1.2373
31.08.95 22.00  1.3547
31.08.95 22.30  1.4941
31.08.95 23.00  1.6451
31.08.95 23.30  1.8857
01.09.95 00.00  2.1363
01.09.95 00.30  2.3969
01.09.95 01.00  2.7225
01.09.95 01.30  3.0877
01.09.95 02.00  3.473
01.09.95 02.30  3.8535
01.09.95 03.00  4.3815
01.09.95 03.30  4.9777
01.09.95 04.00  5.5941
01.09.95 04.30  6.2304
01.09.95 05.00  6.8558
01.09.95 05.30  7.4905
01.09.95 06.00  8.1451
01.09.95 06.30  8.8098
01.09.95 07.00  9.3823
01.09.95 07.30  9.9114
