FLUSS_KM	RW	HW	HOEHE
42	3929176.163	774038.879	367.039
42	3929175.772	774039.225	367.034
42	3929174.455	774040.391	367.017
42	3929169.903	774044.42	366.96
42	3929168.381	774045.767	366.944
42	3929167.395	774046.64	366.933
42	3929166.486	774047.445	366.92
42	3929164.047	774049.603	366.886
42	3929160.174	774053.031	366.832
42	3929156.476	774056.305	366.78
42	3929152.202	774059.449	366.729
42	3929149.249	774060.558	366.664
42	3929146.191	774061.706	366.597
42	3929144.253	774061.389	366.338
42	3929143.963	774061.341	366.294
42	3929143.695	774061.297	366.253
42	3929141.727	774060.975	365.995
42	3929137.232	774060.239	366.005
42	3929136.621	774060.139	366.011
42	3929135.962	774060.031	366.016
42	3929131.457	774059.293	366.029
42	3929130.805	774059.186	366.036
42	3929130.082	774059.068	366.045
42	3929129.37	774058.951	366.053
42	3929128.701	774058.842	366.061
42	3929123.906	774058.056	365.841
42	3929123.196	774057.94	365.808
42	3929123.076	774057.92	365.805
42	3929122.785	774057.873	365.796
42	3929117.362	774056.984	365.579
42	3929116.007	774056.762	364.966
42	3929115.43	774056.668	364.717
42	3929114.85	774056.573	364.467
42	3929113.498	774056.351	363.856
42	3929112.151	774056.131	363.453
42	3929111.627	774056.045	363.291
42	3929111.096	774055.958	363.127
42	3929109.756	774055.739	362.726
42	3929107.718	774055.405	362.111
42	3929106.882	774055.268	361.851
42	3929106.04	774055.13	361.589
42	3929104.008	774054.797	360.976
42	3929102.301	774054.518	360.801
42	3929101.663	774054.413	360.728
42	3929101.046	774054.312	360.658
42	3929099.316	774054.028	360.481
42	3929096.761	774053.61	360.319
42	3929095.924	774053.473	360.265
42	3929095.125	774053.342	360.213
42	3929092.53	774052.917	360.049
42	3929089.803	774052.47	360.183
42	3929089.096	774052.355	360.221
42	3929088.422	774052.244	360.257
42	3929085.659	774051.792	360.392
42	3929084.31	774051.571	361.807
42	3929083.963	774051.514	362.135
42	3929083.616	774051.457	362.463
42	3929082.269	774051.236	363.877
42	3929079.451	774050.775	364.588
42	3929078.856	774050.677	364.746
42	3929078.251	774050.578	364.906
42	3929075.445	774050.119	365.614
42	3929071.306	774049.441	365.758
42	3929069.778	774049.191	365.81
42	3929069.369	774049.123	365.825
42	3929068.952	774049.055	365.839
42	3929063.369	774048.141	366.032
42	3929060.206	774047.623	366.127
42	3929059.194	774047.457	366.16
42	3929058.198	774047.294	366.192
42	3929055.02	774046.773	366.288
42	3929052.973	774046.438	366.381
42	3929052.203	774046.312	366.425
42	3929051.421	774046.184	366.469
42	3929049.382	774045.85	366.563
42	3929046.585	774045.392	367.44
42	3929045.756	774045.256	367.723
42	3929044.889	774045.114	368.018
42	3929042.146	774044.665	368.881
42	3929038.313	774044.037	370.119
42	3929036.742	774043.78	370.647
42	3929035.037	774043.5	371.221
42	3929031.353	774042.897	372.414
42	3929026.624	774042.122	373.912
42	3929023.757	774041.653	374.83
42	3929020.519	774041.122	375.867
42.035	3929393.786	773861.717	369.495
42.035	3929392.574	773862.87	369.075
42.035	3929390.831	773864.528	368.471
42.035	3929387.89	773867.326	367.373
42.035	3929383.982	773871.044	367.38
42.035	3929378.245	773876.501	367.361
42.035	3929373.764	773880.764	367.345
42.035	3929369.691	773884.64	367.33
42.035	3929368.406	773885.862	367.311
42.035	3929361.982	773891.973	367.299
42.035	3929352.962	773900.555	367.274
42.035	3929350.727	773902.681	367.267
42.035	3929347.119	773906.113	367.271
42.035	3929337.213	773915.538	367.283
42.035	3929331.645	773920.835	367.313
42.035	3929323.116	773928.949	367.413
42.035	3929322.997	773929.063	367.414
42.035	3929314.104	773937.523	367.474
42.035	3929308.216	773943.124	367.518
42.035	3929303.832	773947.295	367.528
42.035	3929298.519	773952.349	367.541
42.035	3929294.998	773955.699	367.55
42.035	3929289.636	773960.8	367.575
42.035	3929286.993	773963.314	367.587
42.035	3929284.941	773965.266	367.586
42.035	3929281.149	773968.875	367.585
42.035	3929275.443	773974.303	367.544
42.035	3929273.662	773975.997	367.532
42.035	3929272.968	773976.657	367.527
42.035	3929271.841	773977.73	367.518
42.035	3929265.467	773983.794	367.472
42.035	3929261.5	773987.568	367.426
42.035	3929258.04	773990.859	367.385
42.035	3929249.231	773999.239	367.28
42.035	3929248.087	774000.328	367.267
42.035	3929247.71	774000.687	367.26
42.035	3929247.49	774000.896	367.256
42.035	3929247.23	774001.143	367.256
42.035	3929246.937	774001.422	367.255
42.035	3929246.567	774001.774	367.233
42.035	3929244.299	774003.931	367.098
42.035	3929234.719	774013.046	366.628
42.035	3929226.304	774021.051	366.216
42.035	3929222.525	774024.646	366.082
42.035	3929221.755	774025.379	365.999
42.035	3929220.482	774026.59	366.017
42.035	3929218.777	774028.212	366.041
42.035	3929218.42	774028.552	366.009
42.035	3929218.08	774028.876	366.013
42.035	3929217.428	774029.496	366.022
42.035	3929215.649	774031.188	366.232
42.035	3929214.257	774032.513	366.355
42.035	3929213.859	774032.891	366.39
42.035	3929212.508	774034.177	366.602
42.035	3929211.141	774035.477	366.816
42.035	3929207.891	774038.569	366.957
42.035	3929207.196	774039.23	366.987
42.035	3929200.75	774045.362	367.267
42.035	3929200.477	774045.622	367.272
42.035	3929200.325	774045.767	367.274
42.035	3929198.414	774047.585	367.26
42.035	3929191.722	774053.952	367.213
42.035	3929191.064	774054.578	367.209
42.035	3929190.211	774055.388	367.2
42.035	3929183.639	774061.641	367.131
42.035	3929181.938	774063.259	367.106
42.035	3929178.591	774066.443	367.059
42.035	3929177.536	774067.447	367.045
42.035	3929173.459	774071.326	366.987
42.035	3929171.811	774072.894	366.956
42.035	3929167.914	774076.601	366.887
42.035	3929165.369	774079.022	366.849
42.035	3929164.248	774080.088	366.832
42.035	3929161.569	774082.637	366.775
42.035	3929159.567	774084.542	366.733
42.035	3929155.989	774087.945	366.633
42.035	3929154.725	774089.149	366.598
42.035	3929152.479	774091.285	366.535
42.035	3929150.374	774093.288	366.477
42.035	3929148.976	774094.618	366.454
42.035	3929146.128	774097.328	366.409
42.035	3929142.085	774100.65	366.368
42.035	3929134.089	774100.085	366.273
42.035	3929132.973	774099.776	366.264
42.035	3929132.777	774099.722	366.237
42.035	3929131.238	774099.296	366.039
42.035	3929129.611	774098.845	365.831
42.035	3929129.509	774098.817	365.817
42.035	3929129.27	774098.751	365.815
42.035	3929125.368	774097.67	365.781
42.035	3929125.014	774097.572	365.778
42.035	3929120.806	774096.407	365.744
42.035	3929120.576	774096.344	365.742
42.035	3929120.2	774096.24	365.737
42.035	3929115.63	774094.974	365.683
42.035	3929111.436	774093.813	365.634
42.035	3929110.63	774093.59	365.622
42.035	3929110.333	774093.508	365.458
42.035	3929109.015	774093.143	364.739
42.035	3929107.708	774092.781	364.027
42.035	3929107.4	774092.695	363.856
