     PROFIL  PUNKT     X [m]     H [m]  LAMBDA [-]   V [m/s]
    41.9000      4     8.914   368.894   0.0000000     0.000
    41.9000      5    15.062   367.446   0.0000000     0.000
    41.9000      6    15.457   367.444   0.0000000     0.000
    41.9000      7    26.155   367.385   0.0000000     0.000
    41.9000      8    31.752   367.315   0.0000000     0.000
    41.9000      9    47.697   367.118   0.0000000     0.000
    41.9000     10    49.011   367.106   0.0000000     0.000
    41.9000     11    50.063   367.098   0.0000000     0.000
    41.9000     12    73.129   367.151   0.0000000     0.000
    41.9000     13    74.957   367.155   0.0000000     0.000
    41.9000     14    76.888   367.149   0.0000000     0.000
    41.9000     15   100.333   367.075   0.0000000     0.000
    41.9000     16   102.141   367.070   0.0000000     0.000
    41.9000     17   104.166   367.065   0.0000000     0.000
    41.9000     18   126.663   367.137   0.0000000     0.000
    41.9000     19   129.584   367.146   0.0000000     0.000
    41.9000     20   132.910   367.140   0.0000000     0.000
    41.9000     21   152.326   367.109   0.0000000     0.000
    41.9000     22   155.624   367.098   0.0000000     0.000
    41.9000     23   158.751   367.087   0.0000000     0.000
    41.9000     24   160.549   367.047   0.0000000     0.000
    41.9000     25   163.915   366.970   0.0000000     0.000
    41.9000     26   169.938   366.869   0.0000000     0.000
    41.9000     27   176.854   366.753   0.0000000     0.000
    41.9000     28   181.706   366.671   0.0000000     0.000
    41.9000     29   184.500   366.587   0.0000000     0.000
    41.9000     30   189.087   366.449   0.0000000     0.000
    41.9000     31   190.864   366.395   0.0840170     0.000
    41.9000     32   194.696   366.298   0.0840170     0.000
    41.9000     33   197.751   366.221   0.0840170     0.000
    41.9000     34   200.703   366.255   0.0840170     0.000
    41.9000     35   203.102   366.283   0.0840170     0.000
    41.9000     36   207.954   366.340   0.0840170     0.000
    41.9000     37   210.537   366.384   0.0840170     0.000
    41.9000     38   212.064   366.410   0.0840170     0.000
    41.9000     39   218.338   366.525   0.0840170     0.000
    41.9000     40   220.532   366.547   0.0840170     0.000
    41.9000     41   222.057   366.563   0.0840170     0.000
    41.9000     42   224.648   366.617   0.0840170     0.000
    41.9000     43   228.341   366.683   0.0840170     0.000
    41.9000     44   230.749   366.353   0.0844074     0.000
    41.9000     45   231.715   366.174   0.0844074     0.000
    41.9000     46   232.886   365.958   0.0844074     0.000
    41.9000     47   235.030   365.648   0.0844074     0.000
    41.9000     48   237.905   365.758   0.0815039     0.000
    41.9000     49   240.733   365.877   0.0815039     0.000
    41.9000     50   244.044   366.016   0.0815039     0.000
    41.9000     51   246.444   366.109   0.0815039     0.000
    41.9000     52   249.375   366.102   0.0815039     0.000
    41.9000     53   254.535   366.063   0.0815039     0.000
    41.9000     54   259.879   366.024   0.0815039     0.000
    41.9000     55   262.590   366.015   0.0815039     0.000
    41.9000     56   263.342   365.873   0.0815039     0.000
    41.9000     57   265.188   365.511   0.0815039     0.000
    41.9000     58   267.065   365.142   0.0815039     0.000
    41.9000     59   267.789   365.005   0.0815039     0.000
    41.9000     60   268.481   364.844   0.0815039     0.000
    41.9000     61   270.077   364.463   0.0815039     0.401
    41.9000     62   271.707   364.074   0.0815039     0.401
    41.9000     63   272.359   363.921   0.0815039     0.401
    41.9000     64   272.939   363.801   0.1099224     0.401
    41.9000     65   274.500   363.483   0.1099224     0.401
    41.9000     66   276.085   363.161   0.0676180     0.401
    41.9000     67   276.640   363.046   0.0676180     0.401
    41.9000     68   277.483   362.873   0.0676180     0.401
    41.9000     69   280.123   362.344   0.0676180     0.401
    41.9000     70   282.845   361.797   0.0676180     0.401
    41.9000     71   283.611   361.641   0.0676180     0.401
    41.9000     72   284.230   361.613   0.0676180     0.401
    41.9000     73   286.285   361.510   0.0676180     0.401
    41.9000     74   288.375   361.405   0.0676180     0.401
    41.9000     75   288.958   361.379   0.0676180     0.401
    41.9000     76   289.496   361.344   0.0676180     0.401
    41.9000     77   291.522   361.211   0.0676180     0.401
    41.9000     78   293.604   361.075   0.0676180     0.401
    41.9000     79   294.088   361.044   0.0676180     0.401
    41.9000     80   294.676   361.067   0.0676180     0.401
    41.9000     81   297.250   361.170   0.0676180     0.401
    41.9000     82   299.900   361.277   0.0676180     0.401
    41.9000     83   300.414   361.297   0.1099224     0.401
    41.9000     84   300.570   361.503   0.1099224     0.401
    41.9000     85   301.416   362.612   0.1099224     0.401
    41.9000     86   302.280   363.746   0.0000000     0.000
    41.9000     87   302.418   363.929   0.0000000     0.000
    41.9000     88   303.016   364.036   0.0000000     0.000
    41.9000     89   306.927   364.732   0.0000000     0.000
    41.9000     90   311.365   365.523   0.0000000     0.000
    41.9000     91   315.803   364.732   0.0000000     0.000
    41.9000     92   320.241   365.523   0.0000000     0.000
    41.9000     93   320.314   365.536   0.0000000     0.000
    41.9000     94   320.389   365.542   0.0000000     0.000
    41.9000     95   323.081   365.775   0.0000000     0.000
    41.9000     96   326.558   366.076   0.0000000     0.000
    41.9000     97   332.540   366.595   0.0000000     0.000
    41.9000     98   332.801   366.614   0.0000000     0.000
    41.9000     99   333.000   366.619   0.0000000     0.000
    41.9000    100   338.463   366.737   0.0000000     0.000
    41.9000    101   343.782   366.853   0.0000000     0.000
    41.9000    102   344.120   366.861   0.0000000     0.000
    41.9000    103   344.484   366.868   0.0000000     0.000
    41.9000    104   350.055   366.975   0.0000000     0.000
    41.9000    105   355.626   367.083   0.0000000     0.000
    41.9000    106   355.991   367.089   0.0000000     0.000
    41.9000    107   356.192   367.161   0.0000000     0.000
    41.9000    108   359.183   368.221   0.0000000     0.000
    41.9000    109   362.285   369.318   0.0000000     0.000
    41.9000    110   362.374   369.350   0.0000000     0.000
    41.9000    111   362.480   369.391   0.0000000     0.000
    41.9000    112   366.436   370.865   0.0000000     0.000
    41.9000    113   366.753   370.983   0.0000000     0.000
    41.9000    114   370.407   372.344   0.0000000     0.000
    41.9000    115   370.506   372.380   0.0000000     0.000
    41.9000    116   370.680   372.445   0.0000000     0.000
    41.9000    117   377.298   374.900   0.0000000     0.000
    42.0000      1     0.000   370.824   0.0000000     0.000
    42.0000      2     1.328   370.460   0.0000000     0.000
    42.0000      3     6.782   369.113   0.0000000     0.000
    42.0000      4     9.124   368.534   0.0000000     0.000
    42.0000      5    13.212   367.534   0.0000000     0.000
    42.0000      6    13.757   367.391   0.0000000     0.000
