     PROFIL  PUNKT     X [m]     H [m]  LAMBDA [-]   V [m/s]
     0.6370     13     8.902     8.382   0.0932514     0.398
     0.7200      1    -3.854     7.503   0.0000000     0.000
     0.7200      2    -0.102     7.582   0.0000000     0.000
     0.7200      3     0.000     7.503   0.0695680     0.474
     0.7200      4     2.352     6.272   0.0676483     1.027
     0.7200      5     3.402     5.514   0.0676483     1.027
     0.7200      6     4.743     5.401   0.0676483     1.027
     0.7200      7     6.488     5.597   0.0676483     1.027
     0.7200      8     7.993     6.321   0.0707734     0.084
     0.7200      9    10.419     7.667   0.0707734     0.084
     0.7200     10    11.432     7.561   0.0707734     0.084
     0.7200     11    13.798     7.572   0.0729226     0.084
     0.7200     12    16.274     7.454   0.0000000     0.000
     0.7235      1    -5.216     7.640   0.0000000     0.000
     0.7235      2    -4.413     7.640   0.0000000     0.000
     0.7235      3     2.734     7.640   0.0666604     1.532
     0.7235      4     2.734     6.040   0.0666604     1.532
     0.7235      5     3.171     5.758   0.0666604     1.532
     0.7235      6     3.319     5.480   0.0666604     1.532
     0.7235      7     4.397     5.425   0.0666604     1.532
     0.7235      8     5.627     5.584   0.0666604     1.532
     0.7235      9     6.754     6.051   0.0666604     1.532
     0.7235     10     6.754     7.640   0.0707734     0.000
     0.7235     11    12.368     7.640   0.0729226     0.000
     0.7235     12    13.503     8.020   0.0000000     0.000
     0.7235     13    15.050     8.600   0.0932514     0.000
     0.7360      1    -5.216     7.640   0.0000000     0.000
     0.7360      2    -4.413     7.640   0.0000000     0.000
     0.7360      3     2.734     7.640   0.0647039     1.377
     0.7360      4     2.734     6.040   0.0647039     1.377
     0.7360      5     3.171     5.758   0.0647039     1.377
     0.7360      6     3.319     5.480   0.0647039     1.377
     0.7360      7     4.397     5.425   0.0647039     1.377
     0.7360      8     5.627     5.584   0.0647039     1.377
     0.7360      9     6.754     6.051   0.0647039     1.377
     0.7360     10     6.754     7.640   0.0707734     0.000
     0.7360     11    12.368     7.640   0.0729226     0.000
     0.7360     12    13.503     8.020   0.0000000     0.000
     0.7360     13    15.050     8.600   0.0932514     0.000
     0.7410      1    -5.216     7.690   0.0000000     0.000
     0.7410      2    -4.413     7.690   0.0000000     0.000
     0.7410      3    -1.251     7.621   0.0647039     0.665
     0.7410      4     0.000     7.650   0.0647039     0.665
     0.7410      5     2.734     6.090   0.0646070     0.988
     0.7410      6     2.734     6.090   0.0646070     0.988
     0.7410      7     3.171     5.808   0.0646070     0.988
     0.7410      8     3.319     5.530   0.0646070     0.988
     0.7410      9     4.397     5.475   0.0646070     0.988
     0.7410     10     5.627     5.634   0.0646070     0.988
     0.7410     11     6.754     6.101   0.0646070     0.988
     0.7410     12     6.754     6.101   0.0000000     0.000
     0.7410     13    10.335     7.552   0.0932514     0.684
     0.7410     14    11.956     7.667   0.0932514     0.684
     0.7410     15    12.368     7.690   0.0932514     0.684
     0.7410     16    13.503     8.070   0.0000000     0.000
     0.7410     17    15.050     8.650   0.0000000     0.000
     0.7490      1   -80.488     7.782   0.0000000     0.000
     0.7490      2   -77.762     7.957   0.0000000     0.000
     0.7490      3   -52.561     7.530   0.0647039     0.317
     0.7490      4   -45.840     7.919   0.0647039     0.317
     0.7490      5   -44.160     7.482   0.0646070     0.317
     0.7490      6   -41.591     7.250   0.0646070     0.317
     0.7490      7   -20.551     7.227   0.0646070     0.317
     0.7490      8   -19.116     7.139   0.0646070     0.317
     0.7490      9   -15.078     7.455   0.0646070     0.317
     0.7490     10   -10.948     7.264   0.0646070     0.317
     0.7490     11   -10.249     7.276   0.0646070     0.317
     0.7490     12    -3.972     7.327   0.0000000     0.000
     0.7490     13    -2.471     7.301   0.0932514     0.317
     0.7490     14    -0.833     7.249   0.0932514     0.317
     0.7490     15    -0.352     7.131   0.0932514     0.317
     0.7490     16     0.000     7.183   0.0000000     0.000
     0.7490     17     2.238     6.577   0.0000000     0.000
     0.7490     18     2.962     6.040   0.0724465     0.714
     0.7490     19     3.801     5.284   0.0724465     0.714
     0.7490     20     4.326     5.257   0.0724465     0.714
     0.7490     21     4.790     5.316   0.0724465     0.714
     0.7490     22     5.555     5.748   0.0724465     0.714
     0.7490     23     5.791     6.112   0.0000000     0.000
     0.7490     24     8.770     7.239   0.0000000     0.000
     0.7490     25     9.072     7.405   0.0000000     0.000
     0.7490     26    10.841     7.544   0.0000000     0.000
     0.7490     27    11.949     8.074   0.0000000     0.000
     0.7490     28    13.969     9.255   0.0000000     0.000
     0.7490     29    16.149    10.940   0.0000000     0.000
     0.7490     30    17.918    12.010   0.0000000     0.000
     0.7490     31    20.028    12.315   0.0000000     0.000
     0.8100      1  -125.020     7.610   0.0000000     0.000
     0.8100      2  -104.469     7.124   0.0000000     0.000
     0.8100      3   -94.194     7.270   0.0647039     0.203
     0.8100      4   -83.918     7.193   0.0647039     0.203
     0.8100      5   -73.643     7.315   0.0646070     0.203
     0.8100      6   -53.092     7.207   0.0646070     0.203
     0.8100      7   -42.816     7.334   0.0646070     0.203
     0.8100      8   -21.819     7.291   0.0646070     0.203
     0.8100      9   -11.850     7.270   0.0646070     0.203
     0.8100     10    -8.800     7.143   0.0646070     0.203
     0.8100     11    -6.300     5.971   0.0809574     0.386
     0.8100     12    -5.650     5.895   0.0809574     0.386
     0.8100     13    -5.350     5.586   0.0809574     0.386
     0.8100     14    -4.100     5.611   0.0809574     0.386
     0.8100     15    -3.600     5.853   0.0809574     0.386
     0.8100     16    -3.300     6.000   0.0000000     0.000
     0.8100     17    -1.800     6.880   0.0000000     0.000
     0.8100     18     0.000     7.171   0.0724465     0.280
     0.8100     19     2.300     7.314   0.0724465     0.280
     0.8100     20     3.800     8.080   0.0724465     0.280
     0.8100     21     4.866     9.403   0.0724465     0.280
     0.8100     22     8.213    10.983   0.0724465     0.280
     0.8100     23    13.177    12.042   0.0000000     0.000
     0.8620      1  -113.457     7.630   0.0000000     0.000
     0.8620      2  -106.222     7.622   0.0000000     0.000
     0.8620      3   -98.217     7.346   0.0647039     0.211
     0.8620      4   -93.415     7.477   0.0647039     0.211
     0.8620      5   -91.814     7.176   0.0646070     0.211
