       Stat Kenn     Sohle     h_WSP       hen      h_BV    Boe_li    Boe_re     v_m  tau_fl lamb_li lamb_fl lamb_re      f_li      f_fl      f_re     br_li     br_fl     br_re    WehrOK  BrueckOK  BrueckUK   BrueckB    RohrDN
         km    -       mNN       mNN       mNN       mNN       mNN       mNN     m/s   N/m^2       -       -       -       m^2       m^2         m         m         m         m       mNN       mNN       mNN         m         m
    63.6000    n     5.350     6.241     6.245     7.280     7.520     7.280   0.261    0.71  0.0000  0.0826  0.0000     0.000     6.312     0.000     0.000     8.336     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    63.7000    n     5.610     6.260     6.266     7.780     8.000     7.780   0.343    1.44  0.0000  0.0982  0.0000     0.000     4.814     0.000     0.000     9.241     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    63.8000    n     5.560     6.285     6.289     7.840     8.180     7.840   0.299    1.01  0.0000  0.0905  0.0000     0.000     5.510     0.000     0.000     8.736     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    63.9000    n     5.590     6.310     6.317     7.900     8.020     7.900   0.382    1.76  0.0000  0.0966  0.0000     0.000     4.320     0.000     0.000     8.096     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    64.0000    n     5.580     6.342     6.348     7.720     8.360     7.720   0.354    1.45  0.0000  0.0921  0.0000     0.000     4.658     0.000     0.000     7.826     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    64.1000    n     5.610     6.369     6.376     7.570     7.570     8.580   0.361    1.53  0.0000  0.0939  0.0000     0.000     4.572     0.000     0.000     7.966     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    64.1930    w     6.310     6.977     6.982     6.750     6.750     6.750   0.313    1.38  0.1147  0.1094  0.1102     0.112     5.121     0.041     0.729     9.500     0.361     6.750  -999.999  -999.999  -999.999  -999.999
    64.2200    n     6.450     6.998     7.017     7.830     7.960     7.830   0.620    6.41  0.0000  0.1324  0.0000     0.000     2.662     0.000     0.000     7.068     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    64.3000    n     5.680     7.088     7.091     7.890     7.890     8.030   0.230    0.59  0.0000  0.0888  0.0000     0.000     7.186     0.000     0.000     8.254     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    64.4000    n     6.790     7.198     7.218     7.850     8.010     7.850   0.637    6.94  0.0000  0.1359  0.0000     0.000     2.592     0.000     0.000     8.341     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    64.5000    n     6.340     7.334     7.337     8.000     8.160     8.000   0.235    0.56  0.0000  0.0818  0.0000     0.000     7.029     0.000     0.000     9.734     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    64.6000    n     6.410     7.343     7.346     7.480     7.480     8.150   0.243    0.64  0.0000  0.0864  0.0000     0.000     6.801     0.000     0.000     9.257     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    64.7000    n     6.390     7.352     7.355     7.940     7.940     8.040   0.245    0.63  0.0000  0.0835  0.0000     0.000     6.721     0.000     0.000     9.252     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    64.7710    i     6.944     7.437     7.457     9.634     9.634     9.714   0.630    6.83  0.0000  0.1374  0.0000     0.000     2.617     0.000     0.000     9.158     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    64.7760    i     6.980     7.449     7.472    10.170    10.420    10.170   0.673    7.80  0.0000  0.1377  0.0000     0.000     2.452     0.000     0.000     9.055     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    64.7820    b     6.980     7.476     7.495     9.970     9.970     9.970   0.612    6.43  0.0000  0.1375  0.0000     0.000     2.697     0.000     0.000     9.355     0.000  -999.999     9.970     9.750     6.000  -999.999
    64.7870    i     7.030     7.487     7.512     9.720     9.720     9.800   0.705    8.63  0.0000  0.1378  0.0000     0.000     2.340     0.000     0.000     8.887     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    64.8000    n     6.860     7.530     7.536     8.510     8.560     8.510   0.349    1.52  0.0000  0.0997  0.0000     0.000     4.724     0.000     0.000     9.014     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    64.9000    n     6.610     7.552     7.555     8.390     8.890     8.390   0.224    0.52  0.0000  0.0833  0.0000     0.000     7.379     0.000     0.000     9.623     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    65.0000    n     6.660     7.562     7.566     8.390     8.520     8.390   0.266    0.85  0.0000  0.0966  0.0000     0.000     6.213     0.000     0.000     9.120     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    65.1000    n     6.500     7.574     7.577     8.290     8.290     8.390   0.238    0.57  0.0000  0.0805  0.0000     0.000     6.947     0.000     0.000     8.891     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    65.2000    n     6.590     7.582     7.584     8.880     9.360     8.880   0.226    0.52  0.0000  0.0818  0.0000     0.000     7.315     0.000     0.000     9.535     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
